id|drug_HOI_relationship|evidence_type|modality|evidence_source_code_id|statistic value|evidence_linkout|statistic_type
94|1308216-35205064|aers_report_count||5|5|https://open.fda.gov/drug/event/reference/|COUNT
95|1308216-35205064|aers_ebgm||5|0.47299999|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
96|1308216-35205064|aers_eb05||5|0.47299999|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
97|1308216-35707869|aers_report_count||5|22|https://open.fda.gov/drug/event/reference/|COUNT
98|1308216-35707869|aers_ebgm||5|0.349999994|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
99|1308216-35707869|aers_eb05||5|0.349999994|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
100|1308216-35909435|aers_report_count||5|5|https://open.fda.gov/drug/event/reference/|COUNT
101|1308216-35909435|aers_ebgm||5|1.2000000477|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
102|1308216-35909435|aers_eb05||5|1.2000000477|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
103|1308216-35708050|aers_report_count||5|34|https://open.fda.gov/drug/event/reference/|COUNT
104|1308216-35708050|aers_ebgm||5|0.7340000272|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
105|1308216-35708050|aers_eb05||5|0.7340000272|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
106|1308216-35104323|aers_report_count||5|3|https://open.fda.gov/drug/event/reference/|COUNT
107|1308216-35104323|aers_ebgm||5|0.3409999907|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
108|1308216-35104323|aers_eb05||5|0.3409999907|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
109|1308216-35205067|aers_report_count||5|9|https://open.fda.gov/drug/event/reference/|COUNT
110|1308216-35205067|aers_ebgm||5|1.4900000095|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
111|1308216-35205067|aers_eb05||5|1.4900000095|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
112|1308216-35909441|aers_report_count||5|23|https://open.fda.gov/drug/event/reference/|COUNT
113|1308216-35909441|aers_ebgm||5|1.1299999952|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
114|1308216-35909441|aers_eb05||5|1.1299999952|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
115|1308216-35104397|aers_report_count||5|6|https://open.fda.gov/drug/event/reference/|COUNT
116|1308216-35104397|aers_ebgm||5|0.3330000043|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
117|1308216-35104397|aers_eb05||5|0.3330000043|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
118|1308216-35607485|aers_report_count||5|96|https://open.fda.gov/drug/event/reference/|COUNT
119|1308216-35607485|aers_ebgm||5|0.7689999938|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
120|1308216-35607485|aers_eb05||5|0.7689999938|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
121|1308216-36313585|aers_report_count||5|17|https://open.fda.gov/drug/event/reference/|COUNT
122|1308216-36313585|aers_ebgm||5|0.4799999893|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
123|1308216-36313585|aers_eb05||5|0.4799999893|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
124|1308216-35104856|aers_report_count||5|45|https://open.fda.gov/drug/event/reference/|COUNT
125|1308216-35104856|aers_ebgm||5|0.7860000134|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
126|1308216-35104856|aers_eb05||5|0.7860000134|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
127|1308216-36110555|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
128|1308216-36110555|aers_ebgm||5|0.3910000026|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
129|1308216-36110555|aers_eb05||5|0.3910000026|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
130|1308216-36919118|aers_report_count||5|56|https://open.fda.gov/drug/event/reference/|COUNT
131|1308216-36919118|aers_ebgm||5|1.4199999571|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
132|1308216-36919118|aers_eb05||5|1.4199999571|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
133|1308216-35607035|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
134|1308216-35607035|aers_ebgm||5|0.7850000262|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
135|1308216-35607035|aers_eb05||5|0.7850000262|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
136|1308216-35104691|aers_report_count||5|106|https://open.fda.gov/drug/event/reference/|COUNT
137|1308216-35104691|aers_ebgm||5|0.423999995|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
138|1308216-35104691|aers_eb05||5|0.423999995|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
139|1308216-35607265|aers_report_count||5|8|https://open.fda.gov/drug/event/reference/|COUNT
140|1308216-35607265|aers_ebgm||5|0.7649999857|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
141|1308216-35607265|aers_eb05||5|0.7649999857|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
142|1308216-36316089|aers_report_count||5|6|https://open.fda.gov/drug/event/reference/|COUNT
143|1308216-36316089|aers_ebgm||5|0.5149999857|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
144|1308216-36316089|aers_eb05||5|0.5149999857|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
145|1308216-35204912|aers_report_count||5|22|https://open.fda.gov/drug/event/reference/|COUNT
146|1308216-35204912|aers_ebgm||5|1.9099999666|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
147|1308216-35204912|aers_eb05||5|1.9099999666|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
148|1308216-36617644|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
149|1308216-36617644|aers_ebgm||5|0.2189999968|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
150|1308216-36617644|aers_eb05||5|0.2189999968|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
151|1308216-36718422|aers_report_count||5|93|https://open.fda.gov/drug/event/reference/|COUNT
152|1308216-36718422|aers_ebgm||5|1.8200000525|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
153|1308216-36718422|aers_eb05||5|1.8200000525|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
154|1308216-37420510|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
155|1308216-37420510|aers_ebgm||5|0.2680000067|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
156|1308216-37420510|aers_eb05||5|0.2680000067|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
157|1308216-35707649|aers_report_count||5|11|https://open.fda.gov/drug/event/reference/|COUNT
158|1308216-35707649|aers_ebgm||5|0.4930000007|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
159|1308216-35707649|aers_eb05||5|0.4930000007|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
160|1308216-35607050|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
161|1308216-35607050|aers_ebgm||5|0.4329999983|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
162|1308216-35607050|aers_eb05||5|0.4329999983|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
163|1308216-36718098|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
164|1308216-36718098|aers_ebgm||5|0.6190000176|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
165|1308216-36718098|aers_eb05||5|0.6190000176|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
166|1308216-35204963|aers_report_count||5|18|https://open.fda.gov/drug/event/reference/|COUNT
167|1308216-35204963|aers_ebgm||5|0.7540000081|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
168|1308216-35204963|aers_eb05||5|0.7540000081|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
169|1308216-35205233|aers_report_count||5|3|https://open.fda.gov/drug/event/reference/|COUNT
170|1308216-35205233|aers_ebgm||5|0.7609999776|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
171|1308216-35205233|aers_eb05||5|0.7609999776|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
172|1308216-35104281|aers_report_count||5|24|https://open.fda.gov/drug/event/reference/|COUNT
173|1308216-35104281|aers_ebgm||5|0.8769999743|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
174|1308216-35104281|aers_eb05||5|0.8769999743|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
175|1308216-36516833|aers_report_count||5|10|https://open.fda.gov/drug/event/reference/|COUNT
176|1308216-36516833|aers_ebgm||5|0.4449999928|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
177|1308216-36516833|aers_eb05||5|0.4449999928|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
178|1308216-36516958|aers_report_count||5|42|https://open.fda.gov/drug/event/reference/|COUNT
179|1308216-36516958|aers_ebgm||5|0.9330000281|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
180|1308216-36516958|aers_eb05||5|0.9330000281|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
181|1308216-35305538|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
182|1308216-35305538|aers_ebgm||5|2.8199999332|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
183|1308216-35305538|aers_eb05||5|2.8199999332|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
184|1308216-35205383|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
185|1308216-35205383|aers_ebgm||5|0.6290000081|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
186|1308216-35205383|aers_eb05||5|0.6290000081|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
187|1308216-35809044|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
188|1308216-35809044|aers_ebgm||5|0.8360000253|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
189|1308216-35809044|aers_eb05||5|0.8360000253|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
190|1308216-35104306|aers_report_count||5|53|https://open.fda.gov/drug/event/reference/|COUNT
191|1308216-35104306|aers_ebgm||5|0.6060000062|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
192|1308216-35104306|aers_eb05||5|0.6060000062|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
193|1308216-36919231|aers_report_count||5|3|https://open.fda.gov/drug/event/reference/|COUNT
194|1308216-36919231|aers_ebgm||5|0.5109999776|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
195|1308216-36919231|aers_eb05||5|0.5109999776|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
196|1308216-37220041|aers_report_count||5|7|https://open.fda.gov/drug/event/reference/|COUNT
197|1308216-37220041|aers_ebgm||5|1.8600000143|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
198|1308216-37220041|aers_eb05||5|1.8600000143|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
199|1308216-35104688|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
200|1308216-35104688|aers_ebgm||5|0.150000006|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
201|1308216-35104688|aers_eb05||5|0.150000006|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
202|1308216-35406331|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
203|1308216-35406331|aers_ebgm||5|0.57099998|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
204|1308216-35406331|aers_eb05||5|0.57099998|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
205|1308216-36516932|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
206|1308216-36516932|aers_ebgm||5|0.8149999976|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
207|1308216-36516932|aers_eb05||5|0.8149999976|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
208|1308216-35708739|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
209|1308216-35708739|aers_ebgm||5|1.1499999762|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
210|1308216-35708739|aers_eb05||5|1.1499999762|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
211|1308216-37119590|aers_report_count||5|3|https://open.fda.gov/drug/event/reference/|COUNT
212|1308216-37119590|aers_ebgm||5|1.3999999762|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
213|1308216-37119590|aers_eb05||5|1.3999999762|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
214|1308216-35406359|aers_report_count||5|34|https://open.fda.gov/drug/event/reference/|COUNT
215|1308216-35406359|aers_ebgm||5|0.8299999833|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
216|1308216-35406359|aers_eb05||5|0.8299999833|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
217|1308216-35708233|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
218|1308216-35708233|aers_ebgm||5|1.6799999475|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
219|1308216-35708233|aers_eb05||5|1.6799999475|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
220|1308216-35406349|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
221|1308216-35406349|aers_ebgm||5|0.8790000081|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
222|1308216-35406349|aers_eb05||5|0.8790000081|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
223|1308216-35506459|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
224|1308216-35506459|aers_ebgm||5|0.1879999936|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
225|1308216-35506459|aers_eb05||5|0.1879999936|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
226|1308216-35506689|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
227|1308216-35506689|aers_ebgm||5|0.2779999971|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
228|1308216-35506689|aers_eb05||5|0.2779999971|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
229|1308216-36009799|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
230|1308216-36009799|aers_ebgm||5|0.298999995|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
231|1308216-36009799|aers_eb05||5|0.298999995|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
232|1308216-37019321|aers_report_count||5|223|https://open.fda.gov/drug/event/reference/|COUNT
233|1308216-37019321|aers_ebgm||5|2.0099999905|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
234|1308216-37019321|aers_eb05||5|2.0099999905|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
235|1308216-35506621|aers_report_count||5|3|https://open.fda.gov/drug/event/reference/|COUNT
236|1308216-35506621|aers_ebgm||5|0.4699999988|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
237|1308216-35506621|aers_eb05||5|0.4699999988|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
238|1308216-35607078|aers_report_count||5|5|https://open.fda.gov/drug/event/reference/|COUNT
239|1308216-35607078|aers_ebgm||5|0.621999979|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
240|1308216-35607078|aers_eb05||5|0.621999979|http://www.ncbi.nlm.nih.gov/pubmed/23657824|EB05
241|1308216-36009764|aers_report_count||5|138|https://open.fda.gov/drug/event/reference/|COUNT
242|1308216-36009764|aers_ebgm||5|6.5500001907|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|aers_ebgm
